Generation,Phenotype,Optimum
187,115.919060,117.237
188,115.961642,117.237
189,115.871595,117.237
190,115.793116,117.237
191,115.824612,117.237
192,115.918050,117.237
193,115.784925,117.237
194,115.977908,117.237
195,116.169875,117.237
196,115.890837,117.237
197,116.263082,117.237
198,115.937794,117.237
199,115.952530,117.237
200,115.936395,117.237
201,116.021113,117.237
202,116.112473,117.237
203,116.011417,117.237
204,115.954853,117.237
205,116.001365,117.237
206,116.179363,117.237
207,116.233019,117.237
208,116.042890,117.237
209,116.130097,117.237
210,116.200557,117.237
211,116.278782,117.237
212,116.183207,117.237
213,116.158138,117.237
214,116.221246,117.237
215,116.214617,117.237
216,116.116323,117.237
217,116.102551,117.237
218,116.194147,117.237
219,115.953457,117.237
220,116.146388,117.237
221,116.258878,117.237
222,116.430100,117.237
223,116.418764,117.237
224,116.563780,117.237
225,116.565802,117.237
226,116.433126,117.237
227,116.355170,117.237
228,116.508277,117.237
229,116.683847,117.237
230,116.688701,117.237
231,116.907644,117.237
232,116.857376,117.237
233,116.688586,117.237
234,116.757600,117.237
235,116.838651,117.237
236,116.882741,117.237
237,116.774973,117.237
238,116.517603,117.237
239,116.888263,117.237
240,116.895759,117.237
241,116.548105,117.237
242,116.516500,117.237
243,116.741840,117.237
244,116.914431,117.237
245,116.801085,117.237
246,116.898638,117.237
247,117.002188,117.237
248,116.926935,117.237
249,117.082798,117.237
250,116.956509,117.237
251,116.995946,117.237
252,117.031530,117.237
253,117.166271,117.237
254,117.210496,117.237
255,117.156674,117.237
256,117.211206,117.237
257,117.061656,117.237
258,117.212226,117.237
259,117.022486,117.237
260,117.121660,117.237
261,117.268718,117.237
262,117.415448,117.237
263,117.369600,117.237
264,117.363973,117.237
265,117.152649,117.237
266,117.328477,117.237
267,117.053654,117.237
268,117.054513,117.237
269,117.042030,117.237
270,117.057289,117.237
271,117.036239,117.237
272,116.994239,117.237
273,116.965389,117.237
274,117.044351,117.237
275,116.770354,117.237
276,116.947874,117.237
277,117.911589,117.237
278,117.254887,117.237
279,117.604183,117.237
280,119.354212,117.237
281,118.234280,117.237
282,118.140123,117.237
283,118.321384,117.237
284,117.189314,117.237
285,117.275205,117.237
286,117.670988,117.237
287,117.428155,117.237
288,116.468465,117.237
289,117.208750,117.237
290,114.801710,117.237
291,116.261377,117.237
292,116.861751,117.237
293,116.121250,117.237
294,119.147256,117.237
295,116.616074,117.237
296,116.302687,117.237
297,116.673220,117.237
298,117.129821,117.237
299,117.946407,117.237
300,118.097482,117.237
301,117.035031,117.237
302,117.574930,117.237
303,117.604475,117.237
304,119.000016,117.237
305,118.519189,117.237
306,117.078422,117.237
307,117.523835,117.237
308,118.417629,117.237
309,118.553370,117.237
310,118.093259,117.237
311,118.508562,117.237
312,117.697877,117.237
313,118.348161,117.237
314,117.531453,117.237
315,118.676665,117.237
316,118.480173,117.237
317,118.151201,117.237
318,117.518345,117.237
319,117.638302,117.237
320,118.853431,117.237
321,119.025302,117.237
322,118.035478,117.237
323,118.414932,117.237
324,118.559766,117.237
325,118.609264,117.237
326,118.162283,117.237
327,118.444477,117.237
328,118.816993,117.237
329,118.601958,117.237
330,118.366482,117.237
331,118.412029,117.237
332,118.380838,117.237
333,118.435033,117.237
334,118.515220,117.237
335,118.322389,117.237
336,118.309118,117.237
337,118.060301,117.237
338,118.398335,117.237
339,118.260671,117.237
340,118.732936,117.237
341,118.288316,117.237
342,118.724085,117.237
343,118.525464,117.237
344,118.657341,117.237
345,118.400494,117.237
346,118.225641,117.237
347,118.161991,117.237
348,118.377045,117.237
