Generation,Phenotype,Optimum
407,117.424559,117.237
408,117.354589,117.237
409,117.337287,117.237
410,117.511316,117.237
411,117.430117,117.237
412,117.486585,117.237
413,117.467434,117.237
414,117.323808,117.237
415,117.458733,117.237
416,117.370312,117.237
417,117.334945,117.237
418,117.411997,117.237
419,117.389068,117.237
420,117.384284,117.237
421,117.467504,117.237
422,117.327608,117.237
423,117.501900,117.237
424,117.364330,117.237
425,117.520156,117.237
426,117.523650,117.237
427,117.454305,117.237
428,117.527960,117.237
429,117.535700,117.237
430,117.499604,117.237
431,117.435239,117.237
432,117.503945,117.237
433,117.447015,117.237
434,117.436717,117.237
435,117.593809,117.237
436,117.438575,117.237
437,117.409164,117.237
438,117.395657,117.237
439,117.434854,117.237
440,117.424964,117.237
441,117.453310,117.237
442,117.488237,117.237
443,117.442562,117.237
444,117.405238,117.237
445,117.538804,117.237
446,117.453223,117.237
447,117.560388,117.237
448,117.730191,117.237
449,117.568377,117.237
450,117.650807,117.237
451,117.681676,117.237
452,117.772775,117.237
453,117.728321,117.237
454,117.833770,117.237
455,117.568064,117.237
456,117.767272,117.237
457,117.771886,117.237
458,117.865262,117.237
459,117.711216,117.237
460,117.815488,117.237
461,117.745182,117.237
462,117.650249,117.237
463,117.665207,117.237
464,117.668671,117.237
465,117.711968,117.237
466,117.719654,117.237
467,117.565409,117.237
468,117.865084,117.237
469,117.825672,117.237
470,117.671632,117.237
471,117.536744,117.237
472,117.701999,117.237
473,117.632885,117.237
474,117.763880,117.237
475,117.672717,117.237
476,117.658617,117.237
477,117.689147,117.237
478,117.683112,117.237
479,117.700678,117.237
480,117.810238,117.237
481,117.946395,117.237
482,117.817701,117.237
483,117.723101,117.237
484,117.779811,117.237
485,117.736306,117.237
486,117.706347,117.237
487,117.554989,117.237
488,117.647323,117.237
489,117.743875,117.237
490,117.779701,117.237
491,117.785348,117.237
492,117.763834,117.237
493,117.639091,117.237
494,117.490278,117.237
495,117.782241,117.237
496,117.591435,117.237
497,117.673102,117.237
498,117.694363,117.237
499,117.777474,117.237
500,117.606857,117.237
501,117.552584,117.237
502,117.435059,117.237
503,117.457663,117.237
504,117.433975,117.237
505,117.612381,117.237
506,117.576247,117.237
507,117.633027,117.237
508,117.531400,117.237
509,117.617342,117.237
510,117.468022,117.237
511,117.465639,117.237
512,117.606032,117.237
513,117.534393,117.237
514,117.549665,117.237
515,117.563919,117.237
516,117.616899,117.237
517,117.696902,117.237
518,117.696760,117.237
519,117.652324,117.237
520,117.595851,117.237
521,117.633543,117.237
522,117.765011,117.237
523,117.831698,117.237
524,117.726329,117.237
525,117.703631,117.237
526,117.697366,117.237
527,117.664764,117.237
528,117.748214,117.237
529,117.720987,117.237
530,117.762280,117.237
531,117.796678,117.237
532,117.653301,117.237
533,117.653312,117.237
534,117.848680,117.237
535,117.798250,117.237
536,117.731724,117.237
537,117.848450,117.237
538,117.690241,117.237
539,117.788092,117.237
540,117.845692,117.237
541,117.712331,117.237
542,117.603405,117.237
543,117.868828,117.237
544,117.807208,117.237
545,117.850901,117.237
546,117.897567,117.237
547,117.848267,117.237
548,117.901494,117.237
549,117.746063,117.237
550,117.856112,117.237
551,117.888080,117.237
552,117.925158,117.237
553,117.867282,117.237
554,117.743331,117.237
555,117.734614,117.237
556,117.755947,117.237
557,117.768790,117.237
558,117.674427,117.237
559,117.829662,117.237
560,117.894907,117.237
561,117.780264,117.237
562,117.851335,117.237
563,118.035292,117.237
564,118.053872,117.237
565,117.883684,117.237
566,117.801679,117.237
567,118.045478,117.237
568,117.921454,117.237
569,117.794187,117.237
570,117.936432,117.237
571,117.745007,117.237
572,117.671428,117.237
573,117.651930,117.237
574,117.764153,117.237
575,117.732024,117.237
576,117.956421,117.237
577,117.759352,117.237
578,117.541207,117.237
579,117.732182,117.237
580,117.740894,117.237
581,117.737879,117.237
582,117.783717,117.237
583,117.748064,117.237
584,117.758246,117.237
585,117.611420,117.237
586,117.603042,117.237
587,117.671165,117.237
588,117.677310,117.237
589,117.783929,117.237
590,117.598189,117.237
591,117.605931,117.237
592,117.621274,117.237
593,117.619447,117.237
594,117.630451,117.237
595,117.700151,117.237
596,117.651074,117.237
597,117.737857,117.237
598,117.809468,117.237
599,117.782381,117.237
600,117.634265,117.237
601,117.658201,117.237
602,117.565156,117.237
603,117.747597,117.237
604,117.715144,117.237
605,117.732272,117.237
606,117.561154,117.237
607,117.668780,117.237
608,117.685056,117.237
609,117.830219,117.237
610,117.885855,117.237
611,117.873746,117.237
612,117.838743,117.237
613,117.801784,117.237
614,117.823137,117.237
615,117.760807,117.237
616,117.746426,117.237
617,117.701003,117.237
618,117.653182,117.237
619,118.056507,117.237
620,117.964550,117.237
621,117.874334,117.237
622,117.837235,117.237
623,117.980623,117.237
624,117.863363,117.237
625,117.813876,117.237
626,117.941160,117.237
627,117.879093,117.237
628,117.961045,117.237
629,117.872327,117.237
630,117.879017,117.237
631,117.822586,117.237
632,117.915076,117.237
633,117.885320,117.237
634,117.888512,117.237
635,117.795112,117.237
636,117.955539,117.237
637,118.057961,117.237
638,117.971242,117.237
639,117.986591,117.237
640,117.919477,117.237
641,117.945104,117.237
642,117.999869,117.237
643,117.795790,117.237
644,117.766088,117.237
645,117.780325,117.237
646,117.909021,117.237
647,117.682541,117.237
648,117.624271,117.237
649,117.661019,117.237
650,117.568281,117.237
651,117.694280,117.237
652,117.639461,117.237
653,117.693179,117.237
654,117.595597,117.237
655,117.635629,117.237
656,117.366826,117.237
657,117.455905,117.237
658,117.534731,117.237
659,117.458170,117.237
660,117.383172,117.237
661,117.417288,117.237
662,117.366378,117.237
663,117.300250,117.237
664,117.277052,117.237
665,117.359553,117.237
666,117.206466,117.237
667,117.266973,117.237
668,117.238363,117.237
669,117.294279,117.237
670,117.341040,117.237
671,117.264405,117.237
672,117.252819,117.237
673,117.308391,117.237
674,117.361330,117.237
675,117.337477,117.237
676,117.315160,117.237
677,117.417523,117.237
678,117.382046,117.237
679,117.400919,117.237
680,117.430930,117.237
681,117.377804,117.237
682,117.449646,117.237
683,117.445654,117.237
684,117.463043,117.237
685,117.516910,117.237
686,117.571430,117.237
687,117.524726,117.237
688,117.545793,117.237
689,117.498842,117.237
690,117.457873,117.237
691,117.571200,117.237
692,117.430165,117.237
693,117.518372,117.237
694,117.379000,117.237
695,117.368717,117.237
696,117.332502,117.237
697,117.370125,117.237
698,117.389633,117.237
699,117.399340,117.237
700,117.486104,117.237
701,117.243363,117.237
702,117.278651,117.237
703,117.336767,117.237
704,117.524764,117.237
705,117.405126,117.237
706,117.421201,117.237
707,117.451196,117.237
708,117.498315,117.237
