Generation,Phenotype,Optimum, MeanFitness_value
313,5.854796,7.24378,0.989973
314,5.841843,7.24378,0.989867
315,5.856837,7.24378,0.990032
316,5.870555,7.24378,0.990096
317,5.871447,7.24378,0.99008
318,5.862612,7.24378,0.989913
319,5.891316,7.24378,0.990087
320,5.861747,7.24378,0.990088
321,5.888145,7.24378,0.990135
322,5.889589,7.24378,0.990025
323,5.951380,7.24378,0.99021
324,5.869456,7.24378,0.990047
325,5.909878,7.24378,0.990198
326,5.912972,7.24378,0.990148
327,5.896437,7.24378,0.990099
328,5.930438,7.24378,0.990259
329,5.952123,7.24378,0.990287
330,5.915068,7.24378,0.99024
331,5.915496,7.24378,0.990204
332,5.914783,7.24378,0.990201
333,5.952798,7.24378,0.990464
334,5.929575,7.24378,0.990318
335,5.934115,7.24378,0.990302
336,5.987910,7.24378,0.990497
337,5.945074,7.24378,0.990269
338,5.933023,7.24378,0.990336
339,5.919266,7.24378,0.990233
340,5.924206,7.24378,0.990274
341,5.936241,7.24378,0.990267
342,5.943125,7.24378,0.99029
343,5.985989,7.24378,0.990485
344,5.938733,7.24378,0.990234
345,5.924199,7.24378,0.99028
346,5.932381,7.24378,0.990348
347,5.934139,7.24378,0.990265
348,5.951202,7.24378,0.990286
349,5.931199,7.24378,0.990416
350,5.968041,7.24378,0.990401
351,5.952677,7.24378,0.990475
352,5.951229,7.24378,0.990427
353,5.971715,7.24378,0.990523
354,5.931879,7.24378,0.990297
355,5.938765,7.24378,0.990421
356,5.943341,7.24378,0.990298
357,5.942731,7.24378,0.99036
358,5.928176,7.24378,0.990357
359,5.921886,7.24378,0.990242
360,5.957039,7.24378,0.990455
361,5.914323,7.24378,0.990319
362,5.934801,7.24378,0.990355
363,5.975561,7.24378,0.990326
364,5.957606,7.24378,0.990354
365,5.968540,7.24378,0.990461
366,5.959893,7.24378,0.990351
367,5.938379,7.24378,0.990324
368,5.969350,7.24378,0.990427
369,5.957359,7.24378,0.990395
370,5.936954,7.24378,0.99037
371,5.952027,7.24378,0.99036
372,5.972829,7.24378,0.990381
373,5.947458,7.24378,0.990325
374,5.966473,7.24378,0.990443
375,5.984244,7.24378,0.990485
376,5.976771,7.24378,0.990514
377,6.001189,7.24378,0.990531
378,5.981914,7.24378,0.990463
379,5.995327,7.24378,0.990553
380,5.977540,7.24378,0.990489
381,6.012912,7.24378,0.990582
382,5.981860,7.24378,0.990504
383,6.001408,7.24378,0.990453
384,5.999481,7.24378,0.990537
385,6.035831,7.24378,0.990675
386,5.986335,7.24378,0.99049
387,6.004442,7.24378,0.990635
388,5.978510,7.24378,0.990444
389,5.963097,7.24378,0.990445
390,5.999346,7.24378,0.990531
391,6.001503,7.24378,0.990625
392,6.003729,7.24378,0.990661
393,5.992509,7.24378,0.990484
394,5.994474,7.24378,0.99061
395,6.053654,7.24378,0.990708
396,6.031861,7.24378,0.990687
397,6.014632,7.24378,0.990647
398,6.044512,7.24378,0.990734
399,6.013732,7.24378,0.990659
400,6.026824,7.24378,0.990768
401,6.033102,7.24378,0.99066
402,6.001549,7.24378,0.990519
403,6.020744,7.24378,0.990683
404,6.029420,7.24378,0.990711
405,6.012397,7.24378,0.990691
406,6.010655,7.24378,0.990545
407,6.010431,7.24378,0.990638
408,6.009910,7.24378,0.990571
409,6.029017,7.24378,0.990599
410,6.014293,7.24378,0.990661
411,6.059868,7.24378,0.990757
412,6.053144,7.24378,0.990781
413,6.027154,7.24378,0.990647
414,6.045147,7.24378,0.99066
415,6.052520,7.24378,0.990838
416,6.035533,7.24378,0.990792
417,6.043172,7.24378,0.990798
418,6.064484,7.24378,0.99085
419,6.054154,7.24378,0.990696
420,6.054862,7.24378,0.990752
421,6.070181,7.24378,0.990901
422,6.059467,7.24378,0.990812
423,6.048526,7.24378,0.990676
424,6.104061,7.24378,0.99083
425,6.082677,7.24378,0.990852
426,6.070465,7.24378,0.990758
427,6.047021,7.24378,0.990713
428,6.069254,7.24378,0.990893
429,6.046568,7.24378,0.990751
430,6.057955,7.24378,0.990746
431,6.050705,7.24378,0.990872
432,6.040017,7.24378,0.99069
433,6.058290,7.24378,0.990832
434,6.058586,7.24378,0.990799
435,6.050374,7.24378,0.990814
436,6.036770,7.24378,0.99076
437,6.054863,7.24378,0.990796
438,6.084060,7.24378,0.990861
439,6.039532,7.24378,0.99073
440,6.063686,7.24378,0.990842
441,6.049432,7.24378,0.99087
442,6.050660,7.24378,0.990811
443,6.101000,7.24378,0.990916
444,6.030746,7.24378,0.990657
445,6.088272,7.24378,0.990779
446,6.058965,7.24378,0.990775
447,6.061677,7.24378,0.990869
448,6.062799,7.24378,0.99083
449,6.058904,7.24378,0.990792
450,6.076413,7.24378,0.990882
451,6.077125,7.24378,0.990954
452,6.068235,7.24378,0.990839
453,6.067033,7.24378,0.990855
454,6.080301,7.24378,0.990862
455,6.074801,7.24378,0.990905
456,6.086319,7.24378,0.990907
457,6.055165,7.24378,0.990735
458,6.066100,7.24378,0.990783
459,6.088362,7.24378,0.990883
460,6.072087,7.24378,0.990832
461,6.047713,7.24378,0.99071
462,6.083979,7.24378,0.990875
463,6.033528,7.24378,0.990794
464,6.095995,7.24378,0.990954
465,6.081818,7.24378,0.990933
466,6.072363,7.24378,0.990817
467,6.082122,7.24378,0.990889
468,6.052351,7.24378,0.990774
469,6.053270,7.24378,0.990822
470,6.067168,7.24378,0.990887
471,6.063992,7.24378,0.990841
472,6.017270,7.24378,0.990793
473,6.052330,7.24378,0.990777
474,6.035977,7.24378,0.990786
475,6.091157,7.24378,0.990937
476,6.084575,7.24378,0.990941
477,6.083550,7.24378,0.990856
478,6.099282,7.24378,0.99094
479,6.112740,7.24378,0.991008
480,6.113632,7.24378,0.990838
481,6.103138,7.24378,0.990872
482,6.089985,7.24378,0.990917
483,6.094183,7.24378,0.990978
484,6.110921,7.24378,0.991011
485,6.081351,7.24378,0.990907
486,6.110149,7.24378,0.990988
487,6.091591,7.24378,0.990939
488,6.076579,7.24378,0.990849
489,6.081002,7.24378,0.99099
490,6.083934,7.24378,0.990919
491,6.105586,7.24378,0.99098
492,6.105345,7.24378,0.990867
493,6.048635,7.24378,0.990867
494,6.090886,7.24378,0.991025
495,6.099899,7.24378,0.990943
496,6.118615,7.24378,0.991053
497,6.058033,7.24378,0.990839
498,6.105318,7.24378,0.991039
499,6.105894,7.24378,0.990964
500,6.073254,7.24378,0.990921
