Generation,Position,Frequency,Effect,Heterozygosity,origin
270,500000,0.921600,3.048570,5.45654e-05,1
271,500000,0.920700,3.048570,5.4725e-05,1
272,500000,0.924950,3.048570,5.49099e-05,1
273,500000,0.923100,3.048570,5.50832e-05,1
274,500000,0.922900,3.048570,5.52454e-05,1
275,500000,0.927700,3.048570,5.53752e-05,1
276,500000,0.928750,3.048570,5.55387e-05,1
277,500000,0.927950,3.048570,5.5926e-05,1
278,500000,0.930650,3.048570,5.61962e-05,1
279,500000,0.929300,3.048570,5.64567e-05,1
280,500000,0.930300,3.048570,5.67604e-05,1
281,500000,0.934200,3.048570,5.69852e-05,1
282,500000,0.936400,3.048570,5.72846e-05,1
283,500000,0.936250,3.048570,5.74553e-05,1
284,500000,0.937750,3.048570,5.76505e-05,1
285,500000,0.941200,3.048570,5.78026e-05,1
286,500000,0.941750,3.048570,5.79214e-05,1
287,500000,0.941900,3.048570,5.80727e-05,1
288,500000,0.939000,3.048570,5.83106e-05,1
289,500000,0.941750,3.048570,5.84184e-05,1
290,500000,0.943500,3.048570,5.86376e-05,1
291,500000,0.943850,3.048570,5.88239e-05,1
292,500000,0.943400,3.048570,5.90188e-05,1
293,500000,0.941950,3.048570,5.92625e-05,1
294,500000,0.938700,3.048570,5.94691e-05,1
295,500000,0.941700,3.048570,5.96926e-05,1
296,500000,0.943100,3.048570,5.99156e-05,1
297,500000,0.942700,3.048570,6.00158e-05,1
298,500000,0.944400,3.048570,6.02419e-05,1
299,500000,0.943750,3.048570,6.04715e-05,1
300,500000,0.946250,3.048570,6.07972e-05,1
301,500000,0.949550,3.048570,6.09787e-05,1
302,500000,0.947850,3.048570,6.10896e-05,1
303,500000,0.950700,3.048570,6.11984e-05,1
304,500000,0.950700,3.048570,6.13854e-05,1
305,500000,0.949750,3.048570,6.16588e-05,1
306,500000,0.950450,3.048570,6.1935e-05,1
307,500000,0.952750,3.048570,6.19899e-05,1
308,500000,0.955050,3.048570,6.22791e-05,1
309,500000,0.953000,3.048570,6.25351e-05,1
310,500000,0.953650,3.048570,6.26658e-05,1
311,500000,0.956600,3.048570,6.29094e-05,1
312,500000,0.957750,3.048570,6.29596e-05,1
313,500000,0.957000,3.048570,6.32184e-05,1
314,500000,0.958350,3.048570,6.33991e-05,1
315,500000,0.959700,3.048570,6.3676e-05,1
316,500000,0.960800,3.048570,6.3874e-05,1
317,500000,0.962250,3.048570,6.38451e-05,1
318,500000,0.962300,3.048570,6.39978e-05,1
319,500000,0.963250,3.048570,6.42641e-05,1
320,500000,0.963800,3.048570,6.43627e-05,1
321,500000,0.962800,3.048570,6.45725e-05,1
322,500000,0.964100,3.048570,6.46402e-05,1
323,500000,0.964950,3.048570,6.47781e-05,1
324,500000,0.966450,3.048570,6.50108e-05,1
325,500000,0.965800,3.048570,6.51404e-05,1
326,500000,0.966600,3.048570,6.53624e-05,1
327,500000,0.967200,3.048570,6.55173e-05,1
328,500000,0.969150,3.048570,6.57654e-05,1
329,500000,0.970100,3.048570,6.58128e-05,1
330,500000,0.970750,3.048570,6.60074e-05,1
331,500000,0.971050,3.048570,6.63403e-05,1
332,500000,0.972500,3.048570,6.6454e-05,1
333,500000,0.975250,3.048570,6.67815e-05,1
334,500000,0.974350,3.048570,6.69925e-05,1
335,500000,0.973450,3.048570,6.72036e-05,1
336,500000,0.974200,3.048570,6.73576e-05,1
337,500000,0.973500,3.048570,6.75142e-05,1
338,500000,0.974200,3.048570,6.7703e-05,1
339,500000,0.972650,3.048570,6.78744e-05,1
340,500000,0.972150,3.048570,6.80689e-05,1
341,500000,0.973050,3.048570,6.82983e-05,1
342,500000,0.974050,3.048570,6.85863e-05,1
343,500000,0.974250,3.048570,6.88232e-05,1
344,500000,0.974150,3.048570,6.91382e-05,1
345,500000,0.973300,3.048570,6.92958e-05,1
346,500000,0.973000,3.048570,6.94232e-05,1
347,500000,0.974900,3.048570,6.96078e-05,1
348,500000,0.975300,3.048570,6.96546e-05,1
349,500000,0.975700,3.048570,6.98795e-05,1
350,500000,0.978300,3.048570,7.00705e-05,1
351,500000,0.979450,3.048570,7.02359e-05,1
352,500000,0.979400,3.048570,7.04459e-05,1
353,500000,0.979200,3.048570,7.06637e-05,1
354,500000,0.977400,3.048570,7.07148e-05,1
355,500000,0.975500,3.048570,7.09063e-05,1
356,500000,0.975350,3.048570,7.10559e-05,1
357,500000,0.974950,3.048570,7.12113e-05,1
358,500000,0.974300,3.048570,7.1415e-05,1
359,500000,0.973050,3.048570,7.17895e-05,1
360,500000,0.972550,3.048570,7.19263e-05,1
361,500000,0.972700,3.048570,7.20864e-05,1
362,500000,0.972850,3.048570,7.23773e-05,1
363,500000,0.975750,3.048570,7.25229e-05,1
364,500000,0.976350,3.048570,7.27418e-05,1
365,500000,0.976800,3.048570,7.2962e-05,1
366,500000,0.977350,3.048570,7.31513e-05,1
367,500000,0.978200,3.048570,7.34369e-05,1
368,500000,0.979300,3.048570,7.37553e-05,1
369,500000,0.979050,3.048570,7.39499e-05,1
370,500000,0.978600,3.048570,7.41857e-05,1
371,500000,0.977400,3.048570,7.42655e-05,1
372,500000,0.977450,3.048570,7.43088e-05,1
373,500000,0.979050,3.048570,7.44916e-05,1
374,500000,0.982350,3.048570,7.47123e-05,1
375,500000,0.982800,3.048570,7.49032e-05,1
376,500000,0.982450,3.048570,7.51383e-05,1
377,500000,0.981250,3.048570,7.52993e-05,1
378,500000,0.981850,3.048570,7.54884e-05,1
379,500000,0.979700,3.048570,7.56334e-05,1
380,500000,0.980800,3.048570,7.58657e-05,1
381,500000,0.981800,3.048570,7.60521e-05,1
382,500000,0.980500,3.048570,7.62397e-05,1
383,500000,0.979100,3.048570,7.64906e-05,1
384,500000,0.981450,3.048570,7.66779e-05,1
385,500000,0.982250,3.048570,7.68115e-05,1
386,500000,0.980750,3.048570,7.69826e-05,1
387,500000,0.980800,3.048570,7.70232e-05,1
388,500000,0.980450,3.048570,7.70169e-05,1
389,500000,0.981000,3.048570,7.72633e-05,1
390,500000,0.981950,3.048570,7.75387e-05,1
391,500000,0.982300,3.048570,7.77673e-05,1
392,500000,0.983150,3.048570,7.80742e-05,1
393,500000,0.985250,3.048570,7.84156e-05,1
394,500000,0.986750,3.048570,7.86086e-05,1
395,500000,0.987250,3.048570,7.87121e-05,1
396,500000,0.986450,3.048570,7.88648e-05,1
397,500000,0.987950,3.048570,7.89516e-05,1
398,500000,0.988400,3.048570,7.91242e-05,1
399,500000,0.987800,3.048570,7.93261e-05,1
400,500000,0.987150,3.048570,7.94063e-05,1
401,500000,0.987650,3.048570,7.95911e-05,1
402,500000,0.986500,3.048570,7.98929e-05,1
403,500000,0.986300,3.048570,7.98173e-05,1
404,500000,0.987500,3.048570,7.98726e-05,1
405,500000,0.987150,3.048570,8.00548e-05,1
406,500000,0.986750,3.048570,8.03437e-05,1
407,500000,0.987850,3.048570,8.04965e-05,1
408,500000,0.988350,3.048570,8.07147e-05,1
409,500000,0.988550,3.048570,8.09466e-05,1
410,500000,0.989000,3.048570,8.11216e-05,1
411,500000,0.990400,3.048570,8.13386e-05,1
412,500000,0.992050,3.048570,8.14959e-05,1
413,500000,0.992050,3.048570,8.17081e-05,1
414,500000,0.992100,3.048570,8.20008e-05,1
415,500000,0.993200,3.048570,8.22194e-05,1
416,500000,0.993400,3.048570,8.24308e-05,1
416,500000,0.000050,0.963058,8.24308e-05,416
417,500000,0.994050,3.048570,8.26982e-05,1
417,500000,0.000050,0.963058,8.26982e-05,416
418,500000,0.994300,3.048570,8.29384e-05,1
418,500000,0.000100,0.963058,8.29384e-05,416
419,500000,0.994650,3.048570,8.2999e-05,1
420,500000,0.993600,3.048570,8.31709e-05,1
421,500000,0.993550,3.048570,8.33462e-05,1
422,500000,0.993750,3.048570,8.34267e-05,1
423,500000,0.994850,3.048570,8.35533e-05,1
424,500000,0.995000,3.048570,8.37447e-05,1
425,500000,0.995000,3.048570,8.40121e-05,1
426,500000,0.994750,3.048570,8.40797e-05,1
427,500000,0.995250,3.048570,8.42514e-05,1
428,500000,0.995100,3.048570,8.4544e-05,1
429,500000,0.994700,3.048570,8.48237e-05,1
430,500000,0.994450,3.048570,8.48765e-05,1
431,500000,0.994950,3.048570,8.51467e-05,1
432,500000,0.994300,3.048570,8.54331e-05,1
433,500000,0.994850,3.048570,8.5667e-05,1
434,500000,0.994250,3.048570,8.5877e-05,1
435,500000,0.994400,3.048570,8.60518e-05,1
436,500000,0.993800,3.048570,8.63151e-05,1
437,500000,0.993100,3.048570,8.64285e-05,1
438,500000,0.993050,3.048570,8.64624e-05,1
439,500000,0.994550,3.048570,8.6667e-05,1
440,500000,0.994300,3.048570,8.68677e-05,1
441,500000,0.995550,3.048570,8.7024e-05,1
442,500000,0.996000,3.048570,8.72168e-05,1
443,500000,0.995700,3.048570,8.75112e-05,1
444,500000,0.995150,3.048570,8.76899e-05,1
445,500000,0.995250,3.048570,8.78117e-05,1
446,500000,0.995100,3.048570,8.79348e-05,1
447,500000,0.996000,3.048570,8.81012e-05,1
448,500000,0.995800,3.048570,8.83893e-05,1
449,500000,0.995750,3.048570,8.86748e-05,1
450,500000,0.996500,3.048570,8.87886e-05,1
451,500000,0.996500,3.048570,8.8996e-05,1
452,500000,0.996750,3.048570,8.91972e-05,1
453,500000,0.997000,3.048570,8.94913e-05,1
454,500000,0.997000,3.048570,8.98223e-05,1
455,500000,0.997000,3.048570,9.0035e-05,1
456,500000,0.996950,3.048570,9.02964e-05,1
457,500000,0.996800,3.048570,9.02752e-05,1
458,500000,0.996450,3.048570,9.04807e-05,1
459,500000,0.996500,3.048570,9.08166e-05,1
460,500000,0.996800,3.048570,9.11133e-05,1
461,500000,0.996550,3.048570,9.14094e-05,1
462,500000,0.996550,3.048570,9.16412e-05,1
463,500000,0.996500,3.048570,9.18211e-05,1
464,500000,0.996700,3.048570,9.19507e-05,1
465,500000,0.996600,3.048570,9.21113e-05,1
466,500000,0.996200,3.048570,9.22767e-05,1
467,500000,0.995450,3.048570,9.22548e-05,1
468,500000,0.995300,3.048570,9.25566e-05,1
469,500000,0.994650,3.048570,9.27589e-05,1
470,500000,0.995200,3.048570,9.30665e-05,1
471,500000,0.995450,3.048570,9.32392e-05,1
472,500000,0.995900,3.048570,9.34172e-05,1
473,500000,0.996100,3.048570,9.36024e-05,1
474,500000,0.996150,3.048570,9.37568e-05,1
475,500000,0.996800,3.048570,9.39421e-05,1
476,500000,0.996500,3.048570,9.40853e-05,1
477,500000,0.996600,3.048570,9.42858e-05,1
478,500000,0.997350,3.048570,9.45614e-05,1
479,500000,0.997600,3.048570,9.48353e-05,1
480,500000,0.997550,3.048570,9.51962e-05,1
481,500000,0.997600,3.048570,9.53653e-05,1
482,500000,0.997350,3.048570,9.56643e-05,1
483,500000,0.997900,3.048570,9.57846e-05,1
484,500000,0.998550,3.048570,9.57755e-05,1
485,500000,0.998450,3.048570,9.62293e-05,1
486,500000,0.998850,3.048570,9.63948e-05,1
487,500000,0.999150,3.048570,9.65547e-05,1
488,500000,0.999250,3.048570,9.68861e-05,1
489,500000,0.999400,3.048570,9.72188e-05,1
490,500000,0.999750,3.048570,9.74329e-05,1
491,500000,0.999800,3.048570,9.75727e-05,1
492,500000,0.999900,3.048570,9.77229e-05,1
493,500000,0.999800,3.048570,9.79106e-05,1
494,500000,0.999750,3.048570,9.81706e-05,1
495,500000,0.999900,3.048570,9.84874e-05,1
496,500000,0.999800,3.048570,9.87136e-05,1
497,500000,0.999850,3.048570,9.8869e-05,1
498,500000,0.999800,3.048570,9.8984e-05,1
499,500000,0.999800,3.048570,9.91148e-05,1
500,500000,0.999850,3.048570,9.9434e-05,1
