Generation,Position,Frequency,Effect,Heterozygosity,origin
203,500000,0.866850,3.048570,2.30842e-07,1
204,500000,0.872250,3.048570,2.2286e-07,1
205,500000,0.875850,3.048570,2.17473e-07,1
206,500000,0.875200,3.048570,2.1845e-07,1
207,500000,0.874300,3.048570,2.19799e-07,1
208,500000,0.876250,3.048570,2.16872e-07,1
209,500000,0.877000,3.048570,2.15742e-07,1
210,500000,0.880550,3.048570,2.10363e-07,1
211,500000,0.877300,3.048570,2.15289e-07,1
212,500000,0.879050,3.048570,2.12642e-07,1
213,500000,0.880750,3.048570,2.10059e-07,1
214,500000,0.882900,3.048570,2.06775e-07,1
215,500000,0.887300,3.048570,1.99997e-07,1
216,500000,0.888350,3.048570,1.98368e-07,1
217,500000,0.889750,3.048570,1.9619e-07,1
218,500000,0.888900,3.048570,1.97513e-07,1
219,500000,0.889650,3.048570,1.96346e-07,1
220,500000,0.892250,3.048570,1.9228e-07,1
221,500000,0.894350,3.048570,1.88976e-07,1
222,500000,0.891700,3.048570,1.93142e-07,1
223,500000,0.890150,3.048570,1.95566e-07,1
224,500000,0.888850,3.048570,1.97591e-07,1
225,500000,0.889000,3.048570,1.97358e-07,1
226,500000,0.891700,3.048570,1.93142e-07,1
227,500000,0.893500,3.048570,1.90315e-07,1
228,500000,0.894550,3.048570,1.8866e-07,1
229,500000,0.892350,3.048570,1.92123e-07,1
230,500000,0.897050,3.048570,1.84702e-07,1
231,500000,0.901500,3.048570,1.77595e-07,1
232,500000,0.899750,3.048570,1.804e-07,1
233,500000,0.898750,3.048570,1.81997e-07,1
234,500000,0.898350,3.048570,1.82634e-07,1
235,500000,0.901200,3.048570,1.78077e-07,1
236,500000,0.904000,3.048570,1.73568e-07,1
237,500000,0.903450,3.048570,1.74456e-07,1
238,500000,0.902350,3.048570,1.76229e-07,1
239,500000,0.904000,3.048570,1.73568e-07,1
240,500000,0.909500,3.048570,1.64619e-07,1
241,500000,0.910600,3.048570,1.62815e-07,1
242,500000,0.912700,3.048570,1.59357e-07,1
243,500000,0.915600,3.048570,1.54553e-07,1
244,500000,0.919000,3.048570,1.48878e-07,1
245,500000,0.917150,3.048570,1.51972e-07,1
246,500000,0.917750,3.048570,1.5097e-07,1
247,500000,0.920450,3.048570,1.46443e-07,1
248,500000,0.920100,3.048570,1.47032e-07,1
249,500000,0.921700,3.048570,1.44338e-07,1
250,500000,0.920400,3.048570,1.46528e-07,1
