Generation,Pheno,Optim
251,133.523637,142.693479
252,133.714900,142.693479
253,133.653131,142.693479
254,133.715317,142.693479
255,133.866150,142.693479
256,133.870035,142.693479
257,134.078221,142.693479
258,134.138887,142.693479
259,134.112763,142.693479
260,134.171723,142.693479
261,134.116218,142.693479
262,134.217006,142.693479
263,134.214827,142.693479
264,134.239878,142.693479
265,134.267598,142.693479
266,134.334106,142.693479
267,134.398964,142.693479
268,134.549282,142.693479
269,134.408708,142.693479
270,134.436785,142.693479
271,134.534317,142.693479
272,134.482011,142.693479
273,134.493093,142.693479
274,134.571145,142.693479
275,134.589765,142.693479
276,134.551508,142.693479
277,134.557170,142.693479
278,134.548242,142.693479
279,134.792951,142.693479
280,134.697135,142.693479
281,134.812139,142.693479
282,134.771604,142.693479
283,134.571282,142.693479
284,134.797337,142.693479
285,134.845228,142.693479
286,134.851279,142.693479
287,134.896218,142.693479
288,134.886361,142.693479
289,134.865608,142.693479
290,135.092799,142.693479
291,135.016805,142.693479
292,135.160959,142.693479
293,135.061249,142.693479
294,135.072782,142.693479
295,135.065857,142.693479
296,135.194114,142.693479
297,135.147890,142.693479
298,135.156462,142.693479
299,135.255986,142.693479
300,135.150540,142.693479
301,135.267821,142.693479
302,135.226053,142.693479
303,135.222898,142.693479
304,135.440080,142.693479
305,135.584877,142.693479
306,135.359188,142.693479
307,135.266620,142.693479
308,135.453127,142.693479
309,135.554503,142.693479
310,135.545124,142.693479
311,135.379822,142.693479
312,135.592079,142.693479
313,135.618505,142.693479
314,135.688038,142.693479
315,135.712604,142.693479
316,135.804610,142.693479
317,135.836651,142.693479
318,135.804755,142.693479
319,136.100559,142.693479
320,135.921267,142.693479
321,135.970675,142.693479
322,135.940427,142.693479
323,135.890924,142.693479
324,136.046812,142.693479
325,136.169768,142.693479
326,136.090948,142.693479
327,136.008895,142.693479
328,136.028174,142.693479
329,136.286872,142.693479
330,136.168712,142.693479
331,136.093525,142.693479
332,136.413570,142.693479
333,136.381757,142.693479
334,136.450546,142.693479
335,136.538518,142.693479
336,136.462653,142.693479
337,136.449995,142.693479
338,136.496928,142.693479
339,136.603288,142.693479
340,136.663240,142.693479
341,136.709198,142.693479
342,136.707106,142.693479
343,136.684544,142.693479
344,136.666030,142.693479
345,136.921462,142.693479
346,136.800563,142.693479
347,136.813593,142.693479
348,136.920470,142.693479
349,136.979665,142.693479
350,137.031314,142.693479
351,136.887399,142.693479
352,136.967577,142.693479
353,136.949925,142.693479
354,137.007853,142.693479
355,137.120578,142.693479
356,136.883811,142.693479
357,137.132257,142.693479
358,137.053294,142.693479
359,137.026280,142.693479
360,137.132969,142.693479
361,137.336189,142.693479
362,137.349530,142.693479
363,137.279613,142.693479
364,137.416665,142.693479
365,137.689858,142.693479
366,137.533557,142.693479
367,137.763748,142.693479
368,137.811340,142.693479
369,137.719415,142.693479
370,137.618696,142.693479
371,137.698954,142.693479
372,138.024487,142.693479
373,137.837445,142.693479
374,138.026928,142.693479
375,137.936017,142.693479
376,138.222129,142.693479
377,137.914224,142.693479
378,138.025397,142.693479
379,138.087094,142.693479
380,137.980380,142.693479
381,138.030367,142.693479
382,138.176489,142.693479
383,138.033625,142.693479
384,138.136489,142.693479
385,138.189953,142.693479
386,138.139995,142.693479
387,138.388964,142.693479
388,138.266592,142.693479
389,138.202852,142.693479
390,138.352201,142.693479
391,138.250146,142.693479
392,138.351959,142.693479
393,138.500788,142.693479
394,138.432196,142.693479
395,138.285672,142.693479
396,138.442524,142.693479
397,138.434771,142.693479
398,138.473267,142.693479
399,138.498860,142.693479
400,138.397307,142.693479
401,138.471098,142.693479
402,138.383060,142.693479
403,138.496751,142.693479
404,138.414899,142.693479
405,138.486149,142.693479
406,138.646230,142.693479
407,138.629953,142.693479
408,138.662649,142.693479
409,138.609884,142.693479
410,138.670155,142.693479
411,138.644387,142.693479
412,138.752236,142.693479
413,138.681739,142.693479
414,138.784738,142.693479
415,138.772411,142.693479
416,138.766701,142.693479
417,139.032854,142.693479
418,138.919363,142.693479
419,138.933991,142.693479
420,138.970211,142.693479
421,138.837756,142.693479
422,138.926290,142.693479
423,138.849891,142.693479
424,138.944933,142.693479
425,138.876945,142.693479
426,139.005867,142.693479
427,139.078393,142.693479
428,139.105938,142.693479
429,139.172136,142.693479
430,138.992953,142.693479
431,139.137109,142.693479
432,139.201983,142.693479
433,139.285200,142.693479
434,139.155988,142.693479
435,139.328368,142.693479
436,139.315176,142.693479
437,139.202016,142.693479
438,139.329827,142.693479
439,139.410791,142.693479
440,139.285791,142.693479
441,139.375157,142.693479
442,139.448560,142.693479
443,139.308861,142.693479
444,139.484221,142.693479
445,139.423613,142.693479
446,139.541942,142.693479
447,139.321752,142.693479
448,139.575927,142.693479
449,139.594958,142.693479
450,139.435490,142.693479
451,139.630822,142.693479
452,139.643377,142.693479
453,139.689692,142.693479
454,139.611492,142.693479
455,139.524522,142.693479
456,139.633726,142.693479
457,139.623190,142.693479
458,139.631377,142.693479
459,139.510183,142.693479
460,139.654787,142.693479
461,139.837319,142.693479
462,139.714406,142.693479
463,139.530115,142.693479
464,139.726259,142.693479
465,139.574820,142.693479
466,139.614544,142.693479
467,139.717144,142.693479
468,139.968766,142.693479
469,139.724908,142.693479
470,139.676741,142.693479
471,139.583452,142.693479
472,139.654484,142.693479
473,139.679423,142.693479
474,139.510150,142.693479
475,139.819164,142.693479
476,139.690878,142.693479
477,139.754903,142.693479
478,139.839152,142.693479
479,139.701307,142.693479
480,139.789504,142.693479
481,139.753523,142.693479
482,139.590497,142.693479
483,139.825987,142.693479
484,139.824729,142.693479
485,139.683532,142.693479
486,139.800154,142.693479
487,139.790545,142.693479
488,139.837672,142.693479
489,139.984110,142.693479
490,139.888791,142.693479
491,139.839006,142.693479
492,139.982068,142.693479
493,139.827825,142.693479
494,139.981981,142.693479
495,139.968869,142.693479
496,140.088338,142.693479
497,139.946908,142.693479
498,139.989976,142.693479
499,140.016812,142.693479
500,140.089139,142.693479
